Mes,Categoria,Tipo,Valor,Departamento
Janeiro,Receita,Vendas,125000,Comercial
Janeiro,Despesa,Salários,45000,RH
Janeiro,Despesa,Marketing,12000,Marketing
Janeiro,Despesa,Operacional,8000,Operações
Janeiro,Receita,Serviços,35000,Comercial
Fevereiro,Receita,Vendas,132000,Comercial
Fevereiro,Despesa,Salários,45000,RH
Fevereiro,Despesa,Marketing,15000,Marketing
Fevereiro,Despesa,Operacional,9000,Operações
Fevereiro,Receita,Serviços,38000,Comercial
Março,Receita,Vendas,145000,Comercial
Março,Despesa,Salários,47000,RH
Março,Despesa,Marketing,18000,Marketing
Março,Despesa,Operacional,10000,Operações
Março,Receita,Serviços,42000,Comercial
Abril,Receita,Vendas,138000,Comercial
Abril,Despesa,Salários,47000,RH
Abril,Despesa,Marketing,16000,Marketing
Abril,Despesa,Operacional,11000,Operações
Abril,Receita,Serviços,39000,Comercial
